date,confirmed,confirmed_total,death_total,discharged,discharged_total
2020-03-09,0,1,0,0,0
2020-03-10,0,1,0,0,0
2020-03-11,10,11,0,0,0
2020-03-12,14,25,0,0,0
2020-03-13,12,37,0,0,0
2020-03-14,3,40,0,0,0
2020-03-15,10,50,0,0,0
2020-03-16,4,54,0,0,0
2020-03-17,2,56,0,0,0
2020-03-18,12,68,0,0,0
2020-03-19,5,73,0,0,0
2020-03-20,5,78,0,1,1
2020-03-21,5,83,0,1,2
2020-03-22,5,88,0,0,2
2020-03-23,3,91,0,0,2
2020-03-24,13,104,0,0,2
2020-03-25,5,109,0,0,2
2020-03-26,5,114,0,0,2
2020-03-27,1,115,0,0,2
2020-03-28,5,120,1,23,25
2020-03-29,6,126,1,9,34
2020-03-30,1,127,1,4,38
2020-03-31,2,129,1,7,45
2020-04-01,2,131,1,7,52
2020-04-02,2,133,1,4,56
2020-04-03,1,134,1,9,65
2020-04-04,1,135,1,1,66
2020-04-05,0,135,1,7,73
2020-04-06,0,135,1,9,82
2020-04-07,0,135,1,3,85
2020-04-08,0,135,1,6,91
2020-04-09,0,135,1,1,92
2020-04-10,1,136,1,7,99
2020-04-11,0,136,1,5,104
2020-04-12,0,136,1,2,106
2020-04-13,0,136,1,1,107
2020-04-14,0,136,1,0,107
2020-04-15,0,136,1,1,108
2020-04-16,0,136,1,0,108
2020-04-17,0,136,1,4,112
2020-04-18,1,137,1,1,113
2020-04-19,1,138,1,2,115
2020-04-20,0,138,1,1,116
2020-04-21,0,138,1,0,116
2020-04-22,0,138,1,1,117
2020-04-23,0,138,1,0,117
2020-04-24,0,138,1,0,117
2020-04-25,0,138,1,0,117
2020-04-26,0,138,1,0,117
2020-04-27,0,138,1,0,117
